2018-12-10 09:14:07 Started
2018-12-11 08:04:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 08:09:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 08:14:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 08:19:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 08:24:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 08:29:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 08:34:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 08:39:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 08:44:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 08:49:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 08:54:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 08:59:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 09:04:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 09:09:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 09:14:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 09:19:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 09:24:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 09:29:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 09:34:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 09:39:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 09:44:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 09:49:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 09:54:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 09:59:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 10:04:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 10:09:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 10:14:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 10:19:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 10:24:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 10:29:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 10:34:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 10:39:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 10:44:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 10:49:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 10:54:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 10:59:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 11:04:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 11:09:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 11:14:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 11:19:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 11:24:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 11:29:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 11:34:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 11:39:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 11:44:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 11:49:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 11:54:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 11:59:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 12:04:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 12:09:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 12:14:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 12:19:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 12:24:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 12:29:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 12:34:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 12:39:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 12:44:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 12:49:38 Payments splintered and 0 successfully sent, 1 failed
